Synonum,Authority,Reference,Family Level,Species (in Phylo),SpeciesDescription,GenericDescription,Size described (what type),Length in centimeters,monotypicGenus,SeeInFigure,InfloresenceCoded,"HowCertain(1- very sure, 2- kind of sure, 3- unsure)",Curated,Authority,Reference,HotLeeds,Notes: Everything is scored as a 
,L.,,Liliaceae,Medeola (Genus),,Inflorescence a sessile sympodial umbel., ,,,,umbel,1,JR,L.,"Huber, Herbert. Flowering plants, monocotyledons: Lilianae (except Orchidaceae). Ed. Klaus Kubitzki. Springer-Verlag, 1998.",,
,Rafin.,,Liliaceae,Clintonia (Genus),,"Inflorescence often a raceme, sometimes an umbel",,,,,no,1,JR,Rafin.,"Huber, Herbert. Flowering plants, monocotyledons: Lilianae (except Orchidaceae). Ed. Klaus Kubitzki. Springer-Verlag, 1998.",,
,Salisbury ,,Liliaceae,Gagea (Genus),,"Inflorescence a raceme or corymose to umbelliform, sometimes I-flowered.",,,,,no,1,JR,Salisbury ,"Huber, Herbert. Flowering plants, monocotyledons: Lilianae (except Orchidaceae). Ed. Klaus Kubitzki. Springer-Verlag, 1998.",,
,Pursh,,Liliaceae,Calochortus (Genus),,"Inflorescence 1-flowered or umbel-like, few-flowered.",,,,,umbel,1,JR,Pursh,"Huber, Herbert. Flowering plants, monocotyledons: Lilianae (except Orchidaceae). Ed. Klaus Kubitzki. Springer-Verlag, 1998.",,
,Endlicher ,,Liliaceae,Cardiocrinum (Genus),,Flowers 3-20 in a raceme.,,,,,raceme,1,JR,Endlicher ,"Huber, Herbert. Flowering plants, monocotyledons: Lilianae (except Orchidaceae). Ed. Klaus Kubitzki. Springer-Verlag, 1998.",,
,L.,,Liliaceae,Tulipa (Genus),,"Flowers often solitary, sometimes 2 or more, rarely to 8.",,,,,no,1,JR,L.,"Huber, Herbert. Flowering plants, monocotyledons: Lilianae (except Orchidaceae). Ed. Klaus Kubitzki. Springer-Verlag, 1998.","Eker, Ismail, Mehmet Tekin Babac, and Mehmet Koyuncu. ""Revision of the genus Tulipa L.(Liliaceae) in Turkey."" Phytotaxa 157.1 (2014): 001-112.",
,L.,,Liliaceae,Erythronium (Genus) ,,"Flowers nodding, usually solitary, rarely 2-5 in a raceme, usually ebracteate.",,,,,raceme,1,JR,L.,"Huber, Herbert. Flowering plants, monocotyledons: Lilianae (except Orchidaceae). Ed. Klaus Kubitzki. Springer-Verlag, 1998.",,
,L.,,Liliaceae,Lilium (Genus),,Flowers solitary or in a raceme.,,,,,raceme,1,JR,L.,"Huber, Herbert. Flowering plants, monocotyledons: Lilianae (except Orchidaceae). Ed. Klaus Kubitzki. Springer-Verlag, 1998.",,
,Boissier ,,Liliaceae,Notholirion (Genus),,Flowers 2-24 in a raceme.,,,,,raceme,1,JR,Boissier ,"Huber, Herbert. Flowering plants, monocotyledons: Lilianae (except Orchidaceae). Ed. Klaus Kubitzki. Springer-Verlag, 1998.",,
,L.,,Liliaceae,Fritillaria (Genus),,"Inflorescence a raceme or an umbel, often I-flowered.",,,,,no,1,JR,L.,"Huber, Herbert. Flowering plants, monocotyledons: Lilianae (except Orchidaceae). Ed. Klaus Kubitzki. Springer-Verlag, 1998.",,
,Honda,,Liliaceae,Amana (Genus),,"Flowers often solitary, sometimes 2 or more, rarely to 8.",,,,,no,1,JR,Honda,"Huber, Herbert. Flowering plants, monocotyledons: Lilianae (except Orchidaceae). Ed. Klaus Kubitzki. Springer-Verlag, 1998.",,
,Torrey ,,Liliaceae,Scoliopus (Genus),,"Inflorescence contracted with several axillary fascicles of long, twisting pedicels.",,,,,no,1,JR,Torrey,"Huber, Herbert. Flowering plants, monocotyledons: Lilianae (except Orchidaceae). Ed. Klaus Kubitzki. Springer-Verlag, 1998.",,
,Michaux,,Liliaceae,Streptopus (Genus),,"Flowers axillary, 1-2, campanulate or subrotate, white, greenish pink, yellowish brown to deep purple, nodding; peduncles slender, often adnate to 1 internode, often geniculate in middle part.",,,,,no,1,JR,Michaux,"Huber, Herbert. Flowering plants, monocotyledons: Lilianae (except Orchidaceae). Ed. Klaus Kubitzki. Springer-Verlag, 1998.","Don, David. ""XXXIII. A Monograph of the Genus Disporum."" Transactions of the Linnean Society of London 18.4 (1841): 513-524.",
,,,Liliaceae,Fritillaria_imperialis,inflorescence umbella,,,,no,no,umbel,1,JR,L.,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_raddeana ,inflorescence umbella,,,,no,no,umbel,1,JR,Regel,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_gibbosa,flowers in a raceme or solitary,,,,no,no,raceme,1,JR,Boissier ,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_ariana,flowers in a raceme or solitary,,,,no,no,raceme,1,JR,Lozinsk. & Vved.,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_persica,inflorescence raceme,,,,no,no,raceme,1,JR,L.,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_olivieri,inflorescence raceme,,,,no,no,raceme,1,JR,Boiss.,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_kotschyana,inflorescence raceme,,,,no,no,raceme,1,JR,Herb.,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_reuteri,inflorescence raceme,,,,no,no,raceme,1,JR,Bornm.,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_straussii,inflorescence raceme,,,,no,no,raceme,1,JR,Bommuller,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_crassifolia,inflorescence raceme,,,,no,no,raceme,1,JR,Boissier ,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_poluninii,inflorescence raceme,,,,no,no,raceme,1,JR,(Rix) Bakhshi Khaniki & K. Persoon,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_assyriaca,inflorescence raceme,,,,no,no,raceme,1,JR,Baker,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
,,,Liliaceae,Fritillaria_uva-vulpis,inflorescence raceme,,,,no,no,raceme,1,JR,Rix ,"Kiani, Mahmoud, et al. ""Iran supports a great share of biodiversity and floristic endemism for Fritillaria spp.(Liliaceae): A review."" Plant diversity 39.5 (2017): 245-262.",,
